sender_id,channel,date,cleaned_message
-1001135034032,emartzonsportswear,2024-09-18 10:37:09+00:00,ኦ ሪ ጅ ናል _ ማ ሊያ Original Puma City 20 24 25 3 rd kit Available Size S ML XL 2 XL ዋጋ 1900 ብር ስልክ 09 550 15 555 09 550 25 555  fika dua አሁን  ደው ለው ይዘ ዙ ን ያሉ በት ድረስ በፍጥነት እና መጣ ለን ቁጥር 1 22 ማ ዞ ሪያ አበ ጋ ዝ ሆ ቴ ል 3 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 44 map https map s app goo gl KB V X v f E b ce VC PN 6 y 8 ቁጥር 2 ሜ ክሲ ኮ ከ ኬ ኬ ር  ህን ፃ በታች አይ መን ታ ወር 2 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 210 map https map s app goo gl J ju 2 d 2 g 2 Y 1 W j g Un b 9 ከአ አ ውጪ ላ ላችሁ  ደን በ ኞች በ 24 ሰአት ውስጥ እን ል ካ ለን For more Facebook http facebook come mart zon Tik tok http tik tok come mart zon instagram http instagram come mart zon website http be a cons a iem art zon em art zon sports wear
-1001135034032,emartzonsportswear,2024-09-18 10:21:21+00:00,ኦ ሪ ጅ ናል _ ማ ሊያ Original Puma Dortmund 20 24 25 Home kit Available Size S ML XL 2 XL ዋጋ 1900 ብር ስልክ 09 550 15 555 09 550 25 555  fika dua አሁን  ደው ለው ይዘ ዙ ን ያሉ በት ድረስ በፍጥነት እና መጣ ለን ቁጥር 1 22 ማ ዞ ሪያ አበ ጋ ዝ ሆ ቴ ል 3 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 44 map https map s app goo gl KB V X v f E b ce VC PN 6 y 8 ቁጥር 2 ሜ ክሲ ኮ ከ ኬ ኬ ር  ህን ፃ በታች አይ መን ታ ወር 2 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 210 map https map s app goo gl J ju 2 d 2 g 2 Y 1 W j g Un b 9 ከአ አ ውጪ ላ ላችሁ  ደን በ ኞች በ 24 ሰአት ውስጥ እን ል ካ ለን For more Facebook http facebook come mart zon Tik tok http tik tok come mart zon instagram http instagram come mart zon website http be a cons a iem art zon em art zon sports wear
-1001135034032,emartzonsportswear,2024-09-18 10:18:33+00:00,ኦ ሪ ጅ ናል _ ማ ሊያ Original Nike Tottenham 20 24 25 Home kit Available Size S ML XL 2 XL ዋጋ 1900 ብር ስልክ 09 550 15 555 09 550 25 555  fika dua አሁን  ደው ለው ይዘ ዙ ን ያሉ በት ድረስ በፍጥነት እና መጣ ለን ቁጥር 1 22 ማ ዞ ሪያ አበ ጋ ዝ ሆ ቴ ል 3 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 44 map https map s app goo gl KB V X v f E b ce VC PN 6 y 8 ቁጥር 2 ሜ ክሲ ኮ ከ ኬ ኬ ር  ህን ፃ በታች አይ መን ታ ወር 2 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 210 map https map s app goo gl J ju 2 d 2 g 2 Y 1 W j g Un b 9 ከአ አ ውጪ ላ ላችሁ  ደን በ ኞች በ 24 ሰአት ውስጥ እን ል ካ ለን For more Facebook http facebook come mart zon Tik tok http tik tok come mart zon instagram http instagram come mart zon website http be a cons a iem art zon em art zon sports wear
-1001135034032,emartzonsportswear,2024-09-17 12:35:07+00:00,ኦ ሪ ጅ ናል _ ማ ሊያ Original Nike Liverpool 20 24 25 Home kit Available Size S ML XL 2 XL ዋጋ Fan version 1900 ብር Player version 2200 ብር ስልክ 09 550 15 555 09 550 25 555  fika dua አሁን  ደው ለው ይዘ ዙ ን ያሉ በት ድረስ በፍጥነት እና መጣ ለን ቁጥር 1 22 ማ ዞ ሪያ አበ ጋ ዝ ሆ ቴ ል 3 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 44 map https map s app goo gl KB V X v f E b ce VC PN 6 y 8 ቁጥር 2 ሜ ክሲ ኮ ከ ኬ ኬ ር  ህን ፃ በታች አይ መን ታ ወር 2 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 210 map https map s app goo gl J ju 2 d 2 g 2 Y 1 W j g Un b 9 ከአ አ ውጪ ላ ላችሁ  ደን በ ኞች በ 24 ሰአት ውስጥ እን ል ካ ለን For more Facebook http facebook come mart zon Tik tok http tik tok come mart zon instagram http instagram come mart zon website http be a cons a iem art zon
-1001135034032,emartzonsportswear,2024-09-17 12:22:50+00:00,ኦ ሪ ጅ ናል _ ማ ሊያ Original Puma AC _ M ILAN 20 24 25 Home kit Available Size S ML XL 2 XL ዋጋ 1900 ብር ስልክ 09 550 15 555 09 550 25 555  fika dua አሁን  ደው ለው ይዘ ዙ ን ያሉ በት ድረስ በፍጥነት እና መጣ ለን ቁጥር 1 22 ማ ዞ ሪያ አበ ጋ ዝ ሆ ቴ ል 3 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 44 map https map s app goo gl KB V X v f E b ce VC PN 6 y 8 ቁጥር 2 ሜ ክሲ ኮ ከ ኬ ኬ ር  ህን ፃ በታች አይ መን ታ ወር 2 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 210 map https map s app goo gl J ju 2 d 2 g 2 Y 1 W j g Un b 9 ከአ አ ውጪ ላ ላችሁ  ደን በ ኞች በ 24 ሰአት ውስጥ እን ል ካ ለን For more Facebook http facebook come mart zon Tik tok http tik tok come mart zon instagram http instagram come mart zon website http be a cons a iem art zon em art zon sports wear
-1001135034032,emartzonsportswear,2024-09-17 12:08:31+00:00,ኦ ሪ ጅ ናል _ ማ ሊያ Original Adidas Juventus 20 24 25 Home kit Available Size S ML XL 2 XL ዋጋ 1900 ብር ስልክ 09 550 15 555 09 550 25 555  fika dua አሁን  ደው ለው ይዘ ዙ ን ያሉ በት ድረስ በፍጥነት እና መጣ ለን ቁጥር 1 22 ማ ዞ ሪያ አበ ጋ ዝ ሆ ቴ ል 3 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 44 map https map s app goo gl KB V X v f E b ce VC PN 6 y 8 ቁጥር 2 ሜ ክሲ ኮ ከ ኬ ኬ ር  ህን ፃ በታች አይ መን ታ ወር 2 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 210 map https map s app goo gl J ju 2 d 2 g 2 Y 1 W j g Un b 9 ከአ አ ውጪ ላ ላችሁ  ደን በ ኞች በ 24 ሰአት ውስጥ እን ል ካ ለን For more Facebook http facebook come mart zon Tik tok http tik tok come mart zon instagram http instagram come mart zon website http be a cons a iem art zon em art zon sports wear
-1001135034032,emartzonsportswear,2024-09-17 11:55:12+00:00,ኦ ሪ ጅ ናል _ ማ ሊያ Original Adidas MAN _ UT D 20 24 25 Home kit Available Size S ML XL 2 XL ዋጋ long s le ev 2200 ብር ስልክ 09 550 15 555 09 550 25 555  fika dua አሁን  ደው ለው ይዘ ዙ ን ያሉ በት ድረስ በፍጥነት እና መጣ ለን ቁጥር 1 22 ማ ዞ ሪያ አበ ጋ ዝ ሆ ቴ ል 3 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 44 map https map s app goo gl KB V X v f E b ce VC PN 6 y 8 ቁጥር 2 ሜ ክሲ ኮ ከ ኬ ኬ ር  ህን ፃ በታች አይ መን ታ ወር 2 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 210 map https map s app goo gl J ju 2 d 2 g 2 Y 1 W j g Un b 9 ከአ አ ውጪ ላ ላችሁ  ደን በ ኞች በ 24 ሰአት ውስጥ እን ል ካ ለን For more Facebook http facebook come mart zon Tik tok http tik tok come mart zon instagram http instagram come mart zon website http be a cons a iem art zon
-1001135034032,emartzonsportswear,2024-09-17 11:29:47+00:00,ኦ ሪ ጅ ናል _ ማ ሊያ Original Adidas Real _ Mad rid 20 24 25 home kit Available Size SM LX LX XL ዋጋ 1900 ብር ስልክ 09 550 15 555 09 550 25 555  fika dua አሁን  ደው ለው ይዘ ዙ ን ያሉ በት ድረስ በፍጥነት እና መጣ ለን ቁጥር 1 22 ማ ዞ ሪያ አበ ጋ ዝ ሆ ቴ ል 3 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 44 map https map s app goo gl KB V X v f E b ce VC PN 6 y 8 ቁጥር 2 ሜ ክሲ ኮ ከ ኬ ኬ ር  ህን ፃ በታች አይ መን ታ ወር 2 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 210 map https map s app goo gl J ju 2 d 2 g 2 Y 1 W j g Un b 9 ከአ አ ውጪ ላ ላችሁ  ደን በ ኞች በ 24 ሰአት ውስጥ እን ል ካ ለን For more Facebook http facebook come mart zon Tik tok http tik tok come mart zon instagram http instagram come mart zon website http be a cons a iem art zon
-1001135034032,emartzonsportswear,2024-09-16 10:19:12+00:00,ኦ ሪ ጅ ናል _ ማ ሊያ Original Adidas MAN _ UT D 20 24 25 Home kit Available Size S ML XL 2 XL ዋጋ እጅ ጌ ሙሉ 2200 ብር ስልክ 09 550 15 555 09 550 25 555  fika dua አሁን  ደው ለው ይዘ ዙ ን ያሉ በት ድረስ በፍጥነት እና መጣ ለን ቁጥር 1 22 ማ ዞ ሪያ አበ ጋ ዝ ሆ ቴ ል 3 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 44 map https map s app goo gl KB V X v f E b ce VC PN 6 y 8 ቁጥር 2 ሜ ክሲ ኮ ከ ኬ ኬ ር  ህን ፃ በታች አይ መን ታ ወር 2 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 210 map https map s app goo gl J ju 2 d 2 g 2 Y 1 W j g Un b 9 ከአ አ ውጪ ላ ላችሁ  ደን በ ኞች በ 24 ሰአት ውስጥ እን ል ካ ለን For more Facebook http facebook come mart zon Tik tok http tik tok come mart zon instagram http instagram come mart zon website http be a cons a iem art zon
-1001135034032,emartzonsportswear,2024-09-15 06:24:16+00:00,ኦ ሪ ጅ ናል _ ማ ሊያ Original Adidas Arsenal 20 24 25 Home and A way kit Available Size S ML XL 2 XL ዋጋ Fan version 1900 ብር Player version 2200 ብር ስልክ 09 550 15 555 09 550 25 555  fika dua አሁን  ደው ለው ይዘ ዙ ን ያሉ በት ድረስ በፍጥነት እና መጣ ለን ቁጥር 1 22 ማ ዞ ሪያ አበ ጋ ዝ ሆ ቴ ል 3 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 44 map https map s app goo gl KB V X v f E b ce VC PN 6 y 8 ቁጥር 2 ሜ ክሲ ኮ ከ ኬ ኬ ር  ህን ፃ በታች አይ መን ታ ወር 2 ኛ  ፎ ቅ  ሱ ቅ ቁጥር 210 map https map s app goo gl J ju 2 d 2 g 2 Y 1 W j g Un b 9 ከአ አ ውጪ ላ ላችሁ  ደን በ ኞች በ 24 ሰአት ውስጥ እን ል ካ ለን For more Facebook http facebook come mart zon Tik tok http tik tok come mart zon instagram http instagram come mart zon website http be a cons a iem art zon
